PDBchain   len  method   resol   rfac  freerfac
6J93A      196  XRAY      0.95  0.134  0.153
7DC4A      133  XRAY      0.95  0.136  0.148
6IIPA       88  XRAY     0.951  0.197  0.205
3AGNA      114  XRAY      0.96  0.118  0.127
5JUGA      168  XRAY      0.96  0.123  0.141
3E4GA      176  XRAY      0.96  0.144  0.164
4R5RA       68  XRAY      0.96  0.149  0.168
1AHOA       64  XRAY      0.96  0.158  NA   
1XG0D      177  XRAY      0.97  0.107  0.126
1XG0A       76  XRAY      0.97  0.107  0.126
1BYIA      224  XRAY      0.97  0.116  NA   
4ACJA      167  XRAY      0.97  0.119  0.138
6X7JA      182  XRAY      0.97  0.122  0.137
3EO6A      106  XRAY      0.97  0.124  0.143
4OO4A      105  XRAY      0.97  0.137  0.165
1XMKA       79  XRAY      0.97  0.145  0.183
6YP6A      218  XRAY      0.97  0.151  0.172
6FJNA      184  XRAY      0.97  0.183  0.195
3AKSA      190  XRAY      0.97  0.186  0.192
4RTZA       61  XRAY     0.979  0.143  0.158
3V1AA       48  XRAY      0.98  0.095  0.113
2V8TA      302  XRAY      0.98  0.101  0.117
4HGUA       40  XRAY      0.98  0.106  0.124
3JU4A      670  XRAY      0.98  0.116  0.133
1IXHA      321  XRAY      0.98  0.117  0.141
3PSMA       47  XRAY      0.98  0.125  0.164
4A7UA      153  XRAY      0.98  0.139  0.153
2PNEA       81  XRAY      0.98  0.141  0.164
1TQGA      105  XRAY      0.98   0.18  0.211
3Q46A      178  XRAY      0.99  0.111  0.123
5O45A      129  XRAY      0.99  0.114  0.137
4J5EX      164  XRAY      0.99   0.12  0.136
6U66B      142  XRAY      0.99  0.166   0.19
4RJ2A      237  XRAY      0.99  0.176  0.189
4NDSA       94  XRAY     0.997   0.11  0.124
7ADRC      113  XRAY       1.0  0.102  0.117
1EB6A      177  XRAY       1.0  0.104  0.126
3AJ4A      112  XRAY       1.0  0.106  0.126
5JDTA      164  XRAY       1.0  0.115   0.13
1LNIA       96  XRAY       1.0  0.116  NA   
4ZGFA      141  XRAY       1.0  0.117  0.137
5WS7A      156  XRAY       1.0  0.118  0.138
4DPBX       99  XRAY       1.0  0.118  0.136
1GKMA      507  XRAY       1.0  0.119  0.135
5IQNA      132  XRAY       1.0  0.119  0.146
2GGCA      263  XRAY       1.0   0.12  0.133
1TT8A      164  XRAY       1.0   0.12  0.153
2RBKA      261  XRAY       1.0  0.123  0.148
5IDBA      142  XRAY       1.0  0.123  0.144
2PNDA      119  XRAY       1.0  0.123  0.142
2JHFA      374  XRAY       1.0  0.125  0.152
5CTMA      233  XRAY       1.0  0.127  0.138
2A6ZA      222  XRAY       1.0   0.13  0.163
1LKKA      105  XRAY       1.0  0.133  NA   
5SV5A      105  XRAY       1.0  0.133  0.148
3L8WA      296  XRAY       1.0  0.136  0.144
2X46A      144  XRAY       1.0  0.136  0.157
2CE2X      166  XRAY       1.0  0.145  0.163
2H3LA      103  XRAY       1.0  0.149  0.169
1OAIA       59  XRAY       1.0  0.149  0.159
4JP6A      122  XRAY       1.0  0.153  0.181
6I3BA      252  XRAY       1.0  0.154  0.175
1C7KA      132  XRAY       1.0  0.154  0.178
6UKFX      258  XRAY       1.0  0.155  0.166
1ZK4A      251  XRAY       1.0  0.159  0.176
3A4RA       79  XRAY       1.0  0.159  0.184
2QCPX       80  XRAY       1.0   0.16  0.186
3SOJB      115  XRAY       1.0  0.161  0.181
3CCDA       85  XRAY       1.0  0.192  0.205
3ZUCA      153  XRAY     1.001  0.125  0.136
3TEUA       98  XRAY     1.002  0.112  0.139
3SK2A      132  XRAY      1.01  0.127  0.146
4BPFA       86  XRAY      1.01   0.13  0.156
3NBCA      148  XRAY      1.01  0.159  0.172
5E1YA       95  XRAY     1.011  0.118  0.134
7AEZA      231  XRAY     1.018  0.105  0.113
5JH8A      317  XRAY     1.018  0.131  0.148
6QAZA      128  XRAY      1.02  0.123   0.15
1QTWA      285  XRAY      1.02  0.124  0.148
5NCGA      113  XRAY      1.02  0.126  0.149
1I27A       73  XRAY      1.02  0.127  0.146
1M1RA       91  XRAY      1.02  0.149  0.165
7NIYA      240  XRAY      1.03  0.106  0.118
1KQPA      271  XRAY      1.03  0.108  0.135
7KP2A      138  XRAY      1.03  0.132  0.148
6GGPA      212  XRAY      1.03  0.138  0.171
3B64A      112  XRAY      1.03  0.139  0.157
6Q3PB       50  XRAY      1.03  0.145  0.174
6Q3PC       49  XRAY      1.03  0.145  0.174
3ROFA      158  XRAY      1.03   0.15  0.169
4XPXA      130  XRAY      1.03  0.158  0.166
5D5YA       50  XRAY      1.03  0.166  0.199
6DCMA       85  XRAY     1.031  0.142  0.157
3W9VA      376  XRAY     1.031  0.174  0.184
2OB3A      330  XRAY      1.04  0.105  0.127
5FBFA      267  XRAY      1.04  0.113  0.135
6H5GA      252  XRAY      1.04  0.125  0.144
3TU8A      210  XRAY      1.04  0.129   0.16
1I2TA       61  XRAY      1.04  0.154  0.171
1D5TA      433  XRAY      1.04  0.173  0.209
6S07A      303  XRAY      1.04  0.173   0.18
6KGIB       86  XRAY      1.04   0.19  0.202
1LWBA      122  XRAY      1.05  0.103  NA   
1PSRA      100  XRAY      1.05  0.109  0.141
6F9OA      309  XRAY      1.05  0.111  0.132
2OIZB      361  XRAY      1.05  0.118  0.141
7E2SA      233  XRAY      1.05  0.118  0.134
7D8DA      232  XRAY      1.05  0.119  0.136
2V3IA      434  XRAY      1.05   0.12   0.14
6NNRA      264  XRAY      1.05  0.121  0.132
3FS9A      125  XRAY      1.05  0.121  0.145
1FSGA      233  XRAY      1.05  0.122  0.154
3GMXA      154  XRAY      1.05  0.126  0.154
2VZPB      127  XRAY      1.05  0.129  0.149
3IQUA      236  XRAY      1.05   0.13  0.151
3R2QA      202  XRAY      1.05  0.132  0.153
3VUPA      351  XRAY      1.05  0.138  0.157
2AXWA      134  XRAY      1.05  0.151  0.168
4WZ4A      360  XRAY      1.05  0.187  0.199
6R4ZA      198  XRAY     1.052  0.133  0.151
4XOTA      597  XRAY      1.06  0.106   0.13
6HAVA      342  XRAY      1.06  0.119  0.134
3ULJB       90  XRAY      1.06  0.121  0.139
3W42A      199  XRAY      1.06  0.128  0.155
3NYCA      381  XRAY      1.06  0.135   0.16
2DKOA      146  XRAY      1.06  0.142  0.175
2DKOB      103  XRAY      1.06  0.142  0.175
3CU9A      314  XRAY      1.06  0.147  0.176
3LB2A      137  XRAY      1.06  0.169  0.183
6V67B       43  XRAY      1.07  0.146   0.15
6S6CA      241  XRAY      1.07  0.159   0.17
4K12A       64  XRAY     1.079  0.155   0.17
1JBEA      128  XRAY      1.08  0.105  0.152
4WESB      458  XRAY      1.08  0.111  0.133
2CI1A      275  XRAY      1.08  0.112  0.141
1W23A      360  XRAY      1.08  0.117  0.139
3WA2X      621  XRAY      1.08  0.131   0.15
6SE1A      261  XRAY      1.08  0.137  0.149
2Y6HA      167  XRAY      1.08  0.137   0.17
6F54A      125  XRAY      1.08   0.19  0.199
5OPFA      194  XRAY     1.081  0.141  0.152
5DGTA      524  XRAY     1.081  0.143   0.15
2CARA      196  XRAY      1.09  0.097  0.153
1K5NA      276  XRAY      1.09  0.123  0.148
6FIYB      303  XRAY      1.09  0.126   0.15
4ZO2B      294  XRAY      1.09  0.131  0.162
1JK3A      158  XRAY      1.09  0.169  0.196
4RXVA      229  XRAY     1.099  0.125  0.139
1C5EA       95  XRAY       1.1  0.098  0.133
5LSVA      233  XRAY       1.1  0.102  0.125
1ITXA      419  XRAY       1.1  0.117  0.137
3LWXA      199  XRAY       1.1  0.117  0.138
6RRVA      127  XRAY       1.1  0.118  0.142
6RZ0A      251  XRAY       1.1  0.119  0.128
2AIBA       98  XRAY       1.1  0.119   0.15
2V9VA      135  XRAY       1.1  0.121  0.141
4HE6A       89  XRAY       1.1  0.123  0.163
2NWFA      141  XRAY       1.1  0.125  0.138
5JBXB      261  XRAY       1.1  0.126  0.145
1D4TA      104  XRAY       1.1  0.127  0.165
1QL0A      241  XRAY       1.1  0.128  0.147
3E8MA      164  XRAY       1.1  0.128  0.141
1GMXA      108  XRAY       1.1  0.128  0.151
4QLPB      199  XRAY       1.1  0.129  0.143
1SBYA      254  XRAY       1.1  0.132  0.172
1Z2UA      150  XRAY       1.1  0.132  0.149
1T8KA       77  XRAY       1.1  0.134   0.15
6G7NA      318  XRAY       1.1  0.135  0.151
3P4HA      118  XRAY       1.1  0.135  0.165
7O91A      146  XRAY       1.1  0.136  0.164
2W39A      298  XRAY       1.1  0.138  0.152
6THSA      258  XRAY       1.1  0.138  0.167
2NXVA      249  XRAY       1.1  0.138  0.155
3WMUB      153  XRAY       1.1  0.138  0.163
2Z4UA      261  XRAY       1.1  0.139  0.146
1F86A      115  XRAY       1.1   0.14  0.177
4XUWA       92  XRAY       1.1  0.144  0.177
6EXXA       79  XRAY       1.1  0.144  0.163
1UZ3A      102  XRAY       1.1  0.145  0.199
2FBAA      492  XRAY       1.1  0.146  0.161
6DYFA      106  XRAY       1.1  0.147  0.165
5OK2A      218  XRAY       1.1  0.149   0.17
3NZNA      103  XRAY       1.1  0.149  0.189
3B35A      291  XRAY       1.1   0.15  0.166
1YFQA      342  XRAY       1.1  0.152  0.186
3OD3A      488  XRAY       1.1  0.155  0.185
3MVSA      210  XRAY       1.1  0.164  0.188
4MHPA      326  XRAY       1.1  0.166  0.186
4ESPA      130  XRAY       1.1  0.169  0.183
6DI1A      271  XRAY       1.1  0.174  0.186
5D7WA      469  XRAY       1.1  0.176  0.186
6YV5A      206  XRAY       1.1  0.187    0.2
3BF7A      255  XRAY       1.1  0.201  0.212
5ILUA       97  XRAY     1.101  0.174  0.194
5IKDA      446  XRAY     1.109   0.15  0.158
1OC7A      364  XRAY      1.11  0.106  0.124
2OFCA      142  XRAY      1.11   0.12  0.133
3A8GB      212  XRAY      1.11  0.143  0.169
6OSHL      113  XRAY     1.117  0.162  0.169
3G5TA      299  XRAY     1.119  0.121  0.137
5JVIE      316  XRAY      1.12  0.103  0.119
1K7CA      233  XRAY      1.12   0.11  0.134
1H1NA      305  XRAY      1.12  0.133  0.171
5MX9A      324  XRAY      1.12  0.134  0.145
5EMIA      180  XRAY      1.12  0.135  0.146
3U01A      104  XRAY      1.12  0.137   0.15
1TUKA       67  XRAY      1.12  0.138  0.162
6E7EA      169  XRAY      1.12  0.142  0.169
4I4OA      146  XRAY      1.12  0.151   0.16
4YECA      126  XRAY      1.12  0.159  0.191
4MRHA      150  XRAY      1.12   0.17  0.184
6LUJA       66  XRAY      1.12  0.175  0.178
4USAA      907  XRAY      1.13  0.103  0.122
4ZURA      341  XRAY      1.13  0.115  0.136
7JR8A      200  XRAY      1.13  0.115  0.143
4PF4A      278  XRAY      1.13  0.118  0.149
6HPHA      418  XRAY      1.13  0.129  0.163
6N3DA       96  XRAY      1.13  0.129   0.16
1U07A       90  XRAY      1.13  0.139  0.183
6SWIA      121  XRAY      1.13   0.16  0.181
5LZGA      103  XRAY      1.13  0.176  0.198
5LNIA      359  XRAY     1.133  0.118  0.141
6RVQA      308  XRAY     1.136  0.208  0.214
1P6OB      161  XRAY      1.14  0.112  0.152
2J45A      297  XRAY      1.14  0.121  0.154
4XO9A      279  XRAY      1.14  0.125  0.143
4BK7A      159  XRAY      1.14  0.137  0.175
6ELMA       98  XRAY      1.14   0.14  0.168
5NB4A      164  XRAY      1.14  0.149  0.184
4QPWA      142  XRAY      1.14  0.161  0.178
4INWA      140  XRAY      1.14  0.161  0.183
5KLAA      337  XRAY      1.14  0.162  0.174
4LWUA       85  XRAY      1.14  0.216  0.226
5YOBA      148  XRAY     1.142  0.167  0.177
5UQZA      354  XRAY     1.149  0.126  0.146
2ZK9X      185  XRAY      1.15  0.098  0.136
4W8BA      386  XRAY      1.15  0.104  0.122
7CN7C       75  XRAY      1.15  0.108  0.121
3TBNA       87  XRAY      1.15  0.112  0.125
3DLCA      219  XRAY      1.15  0.121  0.138
4UU3A      168  XRAY      1.15  0.122  0.133
6NP3A      268  XRAY      1.15  0.128  0.139
1XT5A      135  XRAY      1.15  0.128  0.143
6H8OA       95  XRAY      1.15  0.128  0.179
1GWMA      153  XRAY      1.15  0.129  0.156
4ERCA      150  XRAY      1.15  0.129  0.145
4UHTA      102  XRAY      1.15  0.129  0.156
2NSZA      129  XRAY      1.15  0.133   0.15
4JN7A      395  XRAY      1.15  0.136  0.145
4KU0D       96  XRAY      1.15  0.137  0.171
4DT5A      143  XRAY      1.15  0.138  0.161
6K7CA       76  XRAY      1.15  0.139  0.157
6GEHA      256  XRAY      1.15  0.146  0.173
4JIUA      105  XRAY      1.15  0.147  0.192
2CIWA      299  XRAY      1.15   0.15  0.171
1I4UA      181  XRAY      1.15   0.15  0.188
3R72A      122  XRAY      1.15  0.153  0.173
3S0AA      119  XRAY      1.15  0.156  0.178
1H4AX      173  XRAY      1.15  0.157  0.182
5G38A      172  XRAY      1.15  0.159  0.184
4BEUA      392  XRAY      1.15  0.164  0.173
5K8SB      148  XRAY      1.15  0.199  0.218
3PIBB      236  XRAY     1.154  0.155  0.176
3SU0A      198  XRAY     1.159  0.154  0.172
1HBNB      442  XRAY      1.16  0.124   0.19
6E1FA       89  XRAY      1.16  0.133  0.169
6A4UA      169  XRAY      1.16  0.139  0.157
6Q43B       47  XRAY      1.16  0.146  0.177
6Q43A       46  XRAY      1.16  0.146  0.177
6Q43C       46  XRAY      1.16  0.146  0.177
6L7QA      145  XRAY      1.16  0.192  0.205
1MROA      548  XRAY      1.16  0.197  0.207
1H97A      147  XRAY      1.17  0.121  0.173
4NVBA      289  XRAY      1.17  0.122  0.136
3ONDB      488  XRAY      1.17  0.128  0.159
4TLJA      162  XRAY      1.17  0.132  0.159
6GPUA      115  XRAY      1.17  0.134  0.164
6B1KA      114  XRAY      1.17  0.136  0.154
4EMNA       81  XRAY      1.17   0.15  0.188
4BFOA      106  XRAY     1.175  0.157  0.169
6SSDA      424  XRAY      1.18  0.112  0.129
5CGQA      268  XRAY      1.18  0.141  0.161
2Y72A       85  XRAY      1.18  0.147   0.18
6MRRA       68  XRAY      1.18   0.15  0.182
5EQ0A       55  XRAY      1.18  0.158  0.186
5V6JA      112  XRAY      1.18  0.167  0.182
6R01A      119  XRAY      1.18  0.169  0.192
3A5FA      291  XRAY      1.19  0.113   0.14
2QVBA      297  XRAY      1.19   0.12   0.16
4YEPA      185  XRAY      1.19  0.129  0.162
1GU2A      124  XRAY      1.19  0.148  0.186
5J41A      209  XRAY      1.19  0.164  0.186
6DGAA       95  XRAY      1.19  0.164  0.193
2FRGP      106  XRAY      1.19  0.177  0.191
6S95A      102  XRAY      1.19  0.199  0.216
5SZCA      115  XRAY     1.193  0.149  0.167
6L2DA      118  XRAY     1.198  0.151  0.186
5UUKA      152  XRAY     1.199  0.144  0.163
2BK9A      153  XRAY       1.2  0.102  0.134
5E9PA       86  XRAY       1.2  0.107  0.125
6SPTA       69  XRAY       1.2  0.111  0.152
2CS7A       55  XRAY       1.2  0.113  0.135
5LQAA      213  XRAY       1.2  0.117  0.147
3IR4A      218  XRAY       1.2  0.118  0.144
4DVCA      184  XRAY       1.2   0.12  0.139
6GD6A      108  XRAY       1.2   0.12  0.136
4RGDA       70  XRAY       1.2   0.12  0.147
6ZPVAAA    627  XRAY       1.2  0.121  0.144
4OOXA      308  XRAY       1.2  0.121  0.143
2IAYA      114  XRAY       1.2  0.121  0.147
7AT0A      295  XRAY       1.2  0.124   0.15
1MUNA      225  XRAY       1.2  0.124  0.169
1C0PA      363  XRAY       1.2  0.125   0.15
1NEYA      247  XRAY       1.2  0.125   0.15
2XBPA      113  XRAY       1.2  0.126  0.144
3M0ZD      249  XRAY       1.2  0.128  0.155
7B5UA       81  XRAY       1.2  0.132  0.155
6UFEB       92  XRAY       1.2  0.133  0.148
1OLRA      224  XRAY       1.2  0.135  0.151
3IPJA       95  XRAY       1.2  0.135   0.17
2GXQA      207  XRAY       1.2  0.137  0.168
3EDOA      151  XRAY       1.2  0.137   0.16
6PQKB       90  XRAY       1.2  0.138   0.16
2X5XA      342  XRAY       1.2  0.139  0.176
4Y5DA      122  XRAY       1.2   0.14  0.174
4NYHA      182  XRAY       1.2  0.141   0.17
5K2LA       49  XRAY       1.2  0.141   0.18
6A56A      164  XRAY       1.2  0.144  0.176
3BZYB       83  XRAY       1.2  0.144  0.178
5V2OA       60  XRAY       1.2  0.146  0.178
2ZNRA      178  XRAY       1.2   0.15  0.165
7L67A      135  XRAY       1.2   0.15  0.178
5H5RA      169  XRAY       1.2  0.151  0.162
2V1QA       60  XRAY       1.2  0.151  0.188
6OHKA      170  XRAY       1.2  0.152  0.164
6DT3B      144  XRAY       1.2  0.155  0.187
2BMOB      194  XRAY       1.2  0.156  0.172
2ZEXA      147  XRAY       1.2  0.157  0.179
5TOQA      414  XRAY       1.2  0.158  0.174
4FGLD      233  XRAY       1.2   0.16  0.173
4O0AA      123  XRAY       1.2  0.164  0.176
4BGCA      102  XRAY       1.2  0.165  0.205
2I7DA      193  XRAY       1.2  0.167  0.196
6UOFA      119  XRAY       1.2  0.168  0.186
2W5QA      424  XRAY       1.2  0.171  0.185
3A6RA      122  XRAY       1.2  0.171  0.189
7K3TA      306  XRAY       1.2  0.172  0.187
2H8EA      120  XRAY       1.2   0.18  0.191
3DQYA      106  XRAY       1.2  0.184  0.195
2CG7A       90  XRAY       1.2   0.19  0.219
5YRHA      142  XRAY       1.2  0.193  0.225
1JETA      517  XRAY       1.2  0.229  0.255
7K9BA       98  XRAY     1.202  0.122  0.151
4HI8B       72  XRAY     1.203  0.145  0.168
2XI8A       66  XRAY      1.21  0.137  0.167
6SQPA       63  XRAY      1.21  0.171  0.212
2WNPF      217  XRAY      1.21  0.178  0.191
7CHRA       76  XRAY      1.21  0.189  0.195
7DHFC      149  XRAY     1.211  0.145  0.169
3M7AA      140  XRAY      1.22  0.119  0.148
1KYFA      247  XRAY      1.22  0.154  0.211
4X7GA      251  XRAY      1.22  0.178  0.197
5J2XA      209  XRAY      1.22  0.199  0.206
5JEIA      264  XRAY     1.229  0.122  0.147
2V9LA      274  XRAY      1.23  0.091  0.122
4ZGGA      190  XRAY      1.23  0.117  0.134
5F68A      103  XRAY      1.23  0.181  0.196
6L1PC       70  XRAY     1.231  0.184    0.2
4JL5A      203  XRAY      1.24  0.132  0.159
7EE5C      124  XRAY      1.24  0.139   0.16
4A56A       93  XRAY      1.24  0.174   0.19
1USCA      178  XRAY      1.24  0.203  0.222
6FZ9A      392  XRAY     1.246  0.159  0.177
5C5GA      254  XRAY     1.248  0.149  0.166
5XBCB      118  XRAY     1.249  0.172  0.193
1M4LA      307  XRAY      1.25  0.104  0.145
2UXYA      341  XRAY      1.25  0.111  0.136
6E85A      331  XRAY      1.25  0.115  0.139
4PS6A      130  XRAY      1.25  0.118  0.164
3MMHA      167  XRAY      1.25   0.12  0.157
5TABA       53  XRAY      1.25  0.121  0.143
3U9WA      608  XRAY      1.25  0.134  0.161
1OA0A      544  XRAY      1.25  0.134   0.15
4MUVA      142  XRAY      1.25  0.138  0.172
7BR1A      164  XRAY      1.25  0.141  0.147
3EDHA      201  XRAY      1.25  0.142  0.172
5IHWA      314  XRAY      1.25  0.144  0.176
6YB7A      305  XRAY      1.25  0.144   0.18
4A4JA       69  XRAY      1.25  0.145   0.18
2HBAA       52  XRAY      1.25  0.145  0.164
4FN7A      231  XRAY      1.25   0.15  0.183
3R6DA      221  XRAY      1.25   0.15  0.179
3N08B      153  XRAY      1.25  0.153  0.173
2WLVA      144  XRAY      1.25  0.155  0.184
6X84A      416  XRAY      1.25  0.159  0.186
5JJ2A      211  XRAY      1.25  0.162   0.18
6GBIA      104  XRAY      1.25  0.162  0.165
1MF7A      194  XRAY      1.25  0.166  0.223
2B82A      211  XRAY      1.25  0.167  0.189
3D1KA      142  XRAY      1.25  0.167  0.202
6KXTA      144  XRAY      1.25   0.17  0.195
6R2WT      210  XRAY      1.25  0.171  0.194
6R2WL      143  XRAY      1.25  0.171  0.194
6TAKBBB    213  XRAY      1.25  0.182  0.206
1QFTA      175  XRAY      1.25  0.184  NA   
1OAAA      259  XRAY      1.25    0.2  0.222
5LX6A      191  XRAY      1.25  0.208  0.213
2GOMA       61  XRAY      1.25  0.211  0.218
5D78A       81  XRAY     1.251  0.139  0.177
6E4DA      510  XRAY     1.252  0.168  0.188
3S4EA      144  XRAY      1.26  0.151  0.181
6UHYB      304  XRAY      1.26  0.155  0.181
1N0QB       93  XRAY      1.26  0.171  0.187
3UHMA      299  XRAY      1.26  0.181  0.201
4LDCA      149  XRAY     1.264  0.128  0.144
4JH2A      138  XRAY      1.27  0.126  0.152
5GSMA      786  XRAY      1.27  0.133  0.175
5AOGA      307  XRAY      1.27  0.137  0.159
5VHGA      150  XRAY      1.27  0.151  0.179
4XQCA      475  XRAY      1.27  0.152  0.182
3FCIA      223  XRAY      1.27  0.176  0.207
3W19C       40  XRAY     1.278  0.156  0.172
4QUSB      149  XRAY      1.28  0.111  0.139
1ZV9A      172  XRAY      1.28  0.118  0.158
5OL4C      570  XRAY      1.28   0.12  0.137
5OL4B      122  XRAY      1.28   0.12  0.137
5OL4A      100  XRAY      1.28   0.12  0.137
4RZ9A      179  XRAY      1.28  0.128   0.15
6IX1A      225  XRAY      1.28  0.133   0.17
4MJDA      113  XRAY      1.28  0.136  0.165
6HQCA      116  XRAY      1.28   0.15  0.197
4EP4A      166  XRAY      1.28  0.155  0.191
6MSQA       76  XRAY      1.28  0.174  0.194
6TS3A       73  XRAY      1.28  0.184  0.199
4YG0A      164  XRAY     1.285  0.172  0.199
6HFCA      388  XRAY      1.29  0.142  0.164
3MU7A      273  XRAY      1.29  0.153  0.171
7OMVAAA    210  XRAY      1.29  0.163  0.202
1GKPA      458  XRAY     1.295  0.154  0.184
6W70A      126  XRAY     1.296  0.162  0.183
6J33B     1053  XRAY     1.297  0.129  0.154
6HURA      428  XRAY     1.297  0.151  0.171
4HWWA      314  XRAY     1.298  0.159  0.169
5X2EA       80  XRAY     1.299  0.183  0.216
6ER4A      194  XRAY       1.3   0.11  0.135
4JVOA      336  XRAY       1.3  0.119  0.148
6TAHB      213  XRAY       1.3  0.121   0.14
6XTDBBB    163  XRAY       1.3  0.123  0.165
4Z39A      121  XRAY       1.3  0.126  0.161
6TNQC       75  XRAY       1.3  0.132   0.17
1FCYA      236  XRAY       1.3  0.134  0.164
3OGNA      124  XRAY       1.3  0.134  0.174
3C2UA      538  XRAY       1.3  0.136  0.163
3KKFA      105  XRAY       1.3  0.136  0.167
2PRVA      153  XRAY       1.3  0.137  0.175
4CFIA      258  XRAY       1.3  0.138  0.165
2OKTA      342  XRAY       1.3  0.139  0.181
7JZSA      182  XRAY       1.3   0.14  0.184
3EBTA      132  XRAY       1.3  0.141  0.162
1LQ9A      112  XRAY       1.3  0.142  0.168
6FUBB       93  XRAY       1.3  0.143  0.179
6FUBA       81  XRAY       1.3  0.143  0.179
